"Date","BTC_StdDev","ETH_StdDev"
2023-11-01,0.0279946674113583,0.0240593870147543
2023-11-02,0.0287031358220353,0.0244684053605336
2023-11-03,0.0283258359733317,0.0255582141518979
2023-11-04,0.0275035973566161,0.0255736204274325
2023-11-05,0.0268444894675373,0.0254598607925729
2023-11-06,0.0255138013882502,0.0260361048854476
2023-11-07,0.0241254659304986,0.0251389752684892
2023-11-08,0.0237136403551338,0.0245759390330719
2023-11-09,0.0230084114717628,0.0232425453316864
2023-11-10,0.024879230484236,0.0375653839371629
2023-11-11,0.0252545688131332,0.0360854711657316
2023-11-12,0.0242678503586076,0.0353054471965148
2023-11-13,0.0231972236537659,0.0337591928063599
2023-11-14,0.0235817307312776,0.0320775178885075
2023-11-15,0.0249198201339339,0.0338831986639191
2023-11-16,0.0305619275527055,0.0355357272973001
2023-11-17,0.033005065049754,0.0378686722543848
2023-11-18,0.032029504311878,0.036155161297476
2023-11-19,0.0303880575377242,0.0340552286987228
2023-11-20,0.0307870739158059,0.0344672350763902
2023-11-21,0.0293987598811521,0.0331156826068679
2023-11-22,0.0323964294206421,0.0355454570811711
2023-11-23,0.03509532426684,0.039994738704907
2023-11-24,0.0332307616514694,0.0381043657340655
2023-11-25,0.0324011783131783,0.0366420722441914
2023-11-26,0.0308048645449472,0.03464966655445
2023-11-27,0.0300072584402026,0.0336849839905687
2023-11-28,0.0290166450858658,0.0335323584163722
2023-11-29,0.0288350494660687,0.0323814624538799
2023-11-30,0.0274020200885222,0.0314460569465455
2023-12-01,0.0263173123194403,0.0306202483044315
2023-12-02,0.0273342722916844,0.0305901297626075
2023-12-03,0.027904376957867,0.0326322810181894
2023-12-04,0.0277238956010387,0.0323025272294313
2023-12-05,0.0316350904573634,0.0327335159860808
2023-12-06,0.0354698793798123,0.0331503822074328
2023-12-07,0.0339360691061625,0.0336479596086888
2023-12-08,0.0332163023118741,0.0369309734158628
2023-12-09,0.0332842725544562,0.0353514701200394
2023-12-10,0.0323664747534594,0.0341364884094893
2023-12-11,0.030632024661642,0.032545937823807
2023-12-12,0.0348649939954421,0.0360343936617805
2023-12-13,0.0330909923416426,0.0354512940176482
2023-12-14,0.0345870850363213,0.0357092152904864
2023-12-15,0.0331872059408068,0.0361505520040502
2023-12-16,0.0337614210141799,0.0378069434215145
2023-12-17,0.0324856042853288,0.0357775417798717
2023-12-18,0.0327104540192298,0.0351363129521249
2023-12-19,0.033789709611889,0.033931838803835
2023-12-20,0.0326586814277578,0.0337327566197773
2023-12-21,0.0340371484367777,0.0326622941114498
2023-12-22,0.0327524070227027,0.0324603252020939
2023-12-23,0.0311792205851055,0.0343982064881233
2023-12-24,0.0301252088473722,0.0328922190847409
2023-12-25,0.0301045101142341,0.03295792673622
2023-12-26,0.0296038297397146,0.0312079548270509
2023-12-27,0.0302614701384021,0.0311736891900675
2023-12-28,0.030484027886067,0.0358776258492018
2023-12-29,0.0305937744611143,0.034665271793721
